Metrics;CatD@3: ;CatD@5: ;CatD@10: ;CatD@15: ;CatD@20: ;HitRate@3: ;HitRate@5: ;HitRate@10: ;HitRate@15: ;HitRate@20: ;MRR@3: ;MRR@5: ;MRR@10: ;MRR@15: ;MRR@20: ;NDCG@3: ;NDCG@5: ;NDCG@10: ;NDCG@15: ;NDCG@20: ;Coverage@20: ;Popularity@20: ;Saver@50: ;Training time:;Testing time seconds:;Testing time cpu:;
vstan-k=600-sample_size=800-lambda_spw=0.94-lambda_snh=55-lambda_inh=2.4;1.3387755102040817;1.836734693877551;3.363265306122449;5.020408163265306;6.926530612244898;0.726530612244898;0.8367346938775511;0.9346938775510204;0.9469387755102041;0.9510204081632653;0.5346938775510202;0.5602040816326528;0.5739455782312924;0.5749288806431663;0.5751689766815817;0.6768191096647265;0.7290916222391508;0.7636632986581343;0.7670264243592724;0.7680249980005712;0.0502694207453974;0.034642354915330326;1;3.9563779830932617;0.007379973664575694;0.007379973664575694;
stan-k=600-sample_size=3000-lambda_spw=0.16-lambda_snh=530-lambda_inh=0.57;1.3061224489795917;1.7836734693877552;3.2122448979591836;4.8612244897959185;6.918367346938775;0.6653061224489796;0.763265306122449;0.8734693877551021;0.9102040816326531;0.9306122448979591;0.5081632653061223;0.5304081632653059;0.5442646582442501;0.5472611855264916;0.5484113824473652;0.6291523023906731;0.6750194131613153;0.7118519961153998;0.7220054435006935;0.7269231835540448;0.05154916928603503;0.037222977204778844;1;3.655583143234253;0.006964686452126017;0.006964686452126017;
vsknn-k=600-sample_size=900-weighting=same-weighting_score=div-idf_weighting=5;1.2857142857142858;1.763265306122449;2.869387755102041;4.208163265306123;5.906122448979592;0.6244897959183674;0.7224489795918367;0.8489795918367347;0.9346938775510204;0.9469387755102041;0.48911564625850323;0.5113605442176871;0.5293100097181728;0.536001209674679;0.5366854833841629;0.5868295666909649;0.632696677461607;0.6776092739368248;0.7008917715803765;0.7038333197330141;0.04611585092052088;0.04330938397362416;1;4.684335708618164;0.009031821270378269;0.009031821270378269;
