Metrics;MRR@3: ;MRR@5: ;MRR@10: ;MRR@15: ;MRR@20: ;CatD@3: ;CatD@5: ;CatD@10: ;CatD@15: ;CatD@20: ;HitRate@3: ;HitRate@5: ;HitRate@10: ;HitRate@15: ;HitRate@20: ;NDCG@3: ;NDCG@5: ;NDCG@10: ;NDCG@15: ;NDCG@20: ;Coverage@20: ;Popularity@20: ;Saver@50: ;Training time:;Testing time seconds:;Testing time cpu:;
vstan-k=1500-sample_size=1800-lambda_spw=0.102-lambda_snh=51-lambda_inh=1.5;0.2816091954022987;0.3021756978653529;0.3103555790132143;0.31330779920681384;0.3141628674894203;1.0;1.0;1.0;1.0;1.0;0.3793103448275862;0.46798029556650245;0.5270935960591133;0.5665024630541872;0.5812807881773399;0.3565843444317397;0.39869960368039514;0.41941767228020466;0.4299555198915579;0.4335495420745368;0.11275725266550955;0.11543279565036764;1;1.3282856941223145;0.032224069675201264;0.032224069675201264;
stan-k=1400-sample_size=1900-lambda_spw=0.12-lambda_snh=470-lambda_inh=0.57;0.27791461412151053;0.29983579638752045;0.30764035499257164;0.3114754361675543;0.3123193944405187;1.0;1.0;1.0;1.0;1.0;0.3669950738916256;0.4605911330049261;0.5197044334975369;0.5689655172413793;0.583743842364532;0.3469961935432807;0.3917452543730362;0.41197991634673686;0.42534793098952844;0.428924427320947;0.1007314654103645;0.14250497384698352;1;1.2118189334869385;0.025633800205926004;0.025633800205926004;
vsknn-k=1500-sample_size=10000-weighting=log-weighting_score=quadratic-idf_weighting=20;0.29515599343185533;0.3137520525451558;0.3261943858002968;0.328163639863147;0.3297336039044199;1.0;1.0;1.0;1.0;1.0;0.39655172413793105;0.47783251231527096;0.5689655172413793;0.5935960591133005;0.6231527093596059;0.3710986036945829;0.4093485342685424;0.44107114063055713;0.44782696187015125;0.4548047690818549;0.1020332258864369;0.12971244584248334;1;1.5129196643829346;0.023895634218977002;0.023895634218977002;
